,Manual Sentiment,Predicted Sentiment,Watson_Label,Watson_Score
0,Positive,-0.7,neutral,0.0
1,Positive,-0.3,neutral,0.0
2,Positive,-0.125,neutral,0.0
3,Positive,-0.4,negative,-0.609702
4,Positive,-0.06667,negative,-0.779473
5,Positive,-0.0375,negative,-0.382834
6,Positive,-0.05,negative,-0.527114
7,Positive,-0.4,positive,0.76633
8,Positive,-0.08125,negative,-0.142942
9,Positive,-0.07143,negative,-0.564987
10,Positive,-0.165,positive,0.169695
11,Positive,-0.3,negative,-0.683813
12,Positive,-0.3,negative,-0.603497
13,Positive,-0.3,negative,-0.683813
14,Positive,-0.1,neutral,0.0
15,Positive,-0.2,neutral,0.0
16,Positive,-0.33333,negative,-0.44765
17,Positive,-0.16667,positive,0.161332
18,Positive,-0.14048,negative,-0.455589
19,Positive,-0.14048,negative,-0.433974
20,Positive,-0.25,positive,0.68018
21,Positive ,-0.1,positive,0.597224
22,Positive ,-0.025,neutral,0.0
23,Positive,-0.2,neutral,0.0
24,Positive,-0.07143,negative,-0.51755
25,Positive ,-0.3,neutral,0.0
26,Positive,-0.7,positive,0.0527224
27,Positive,-0.2,positive,0.867432
28,Positive,-0.2,positive,0.723279
29,Positive,-0.05,neutral,0.0
30,Positive,-0.125,neutral,0.0
31,Positive,-0.3,neutral,0.0
32,Positive,-0.05682,neutral,0.0
33,Positive,-0.05,positive,0.797417
34,Positive,-0.5,negative,-0.774434
35,Positive,-0.5,neutral,0.0
36,positive,-0.06667,neutral,0.0
37,Positive,-0.1,neutral,0.0
38,Positive,-0.05833,positive,0.641248
39,positive,-0.46667,negative,-0.748302
40,Positive,-0.8,negative,-0.446116
41,Positive,-0.33333,negative,-0.767904
42,Positive,-0.2,positive,0.911259
43,Positive,-0.3,negative,-0.555628
44,Positive,-0.3,negative,-0.516157
45,Positive,-0.2,neutral,0.0
46,Positive,-0.3,neutral,0.0
47,Positive,-0.3,neutral,0.0
48,Positive,-0.05,neutral,0.0
49,Positive,-0.2,negative,-0.45257
50,Positive,-0.1559,negative,-0.0981579
51,Positive,-0.32813,negative,-0.533816
52,Positive,-0.175,negative,-0.76096
53,Positive,-0.175,negative,-0.622765
54,Positive,-0.05185,neutral,0.0
55,Positive,-0.125,neutral,0.0
56,Positive,-0.125,negative,-0.48436
57,positive,-0.07692,neutral,0.0
58,Positive,-0.85,neutral,0.0
59,Positive,-0.00714,neutral,0.0
60,Positive,-0.8,negative,-0.607894
61,Positive,-0.125,negative,-0.774777
62,Positive,-0.5,negative,-0.671238
63,Positive,-0.0625,negative,-0.475453
64,Positive,-0.45,negative,-0.866617
65,Positive,-0.25,negative,-0.646472
66,Positive,-0.291666666666666,negative,-0.834579
67,Positive,-0.166666666666666,positive,0.557532
68,Positive,-0.2,neutral,0.0
69,Positive,-0.0999999999999999,neutral,0.0
70,Positive,-0.188888888888888,neutral,0.0
